Date (date),Country Name (country_name),ISO Alpha 3 Code (alpha_3_code),Country Code (country_code),Region Name (region),Region Code (region_code),Sub-Region Name (sub_region),Sub-Region Code (sub_region_code),Harmonized System Code (hs_code),Commodity Name (commodity),Unit of Quantity (unit),Quantity of commodity (value_qt),Value of commodity quantity in INR (value_rs),Value of commodity quantity in US Dollars (value_dl)
"2024-04-01","Poland","POL","616","Europe","150","Eastern Europe","151","19011090","Other Food Prpns Fr Infnt Use Excl Malted Milk","Kgs","45.0","0.0","0.0"
"2025-03-01","Switzerland","CHE","756","Europe","150","Western Europe","155","62034990","Trousers,Breeches And Like Of Other Fibres","Nos","901.0","0.06","0.01"
"2018-04-01","Bulgaria","BGR","100","Europe","150","Eastern Europe","151","82032000","Pliers,Pincers,Tweezers And Smrl Tools","Kgs","0.09","0.24","0.0"
"2025-05-01","United Kingdom of Great Britain and Northern Ireland","GBR","826","Europe","150","Northern Europe","154","52094120","Saree","Sqm","1232.0","0.01","0.0"
"2017-08-01","Spain","ESP","724","Europe","150","Southern Europe","39","91059990","Others","Nos","0.3","1.3","0.0"
"2024-07-01","Portugal","PRT","620","Europe","150","Southern Europe","39","62142090","Othr Itms Of Wool Othr Thn Shwls,Scrvs And Mufflers","Nos","3036.0","0.19","0.02"
"2020-11-01","France","FRA","250","Europe","150","Western Europe","155","84836090","Others","Nos","0.72","82.82","0.11"
"2024-09-01","Germany","DEU","276","Europe","150","Western Europe","155","29379090","Other","Kgs","2.0","0.01","0.0"
"2019-05-01","Ukraine","UKR","804","Europe","150","Eastern Europe","151","69072300","Of A Water Absorption Coefficient By Weight Exceeding 10%","Sqm","10.01","20.53","0.03"
"2019-03-01","Germany","DEU","276","Europe","150","Western Europe","155","57033020","*100% P0Lypr0Pylene Carpet Mats With Jute, Rubber, Latex 0R P.U. F0Am Baking","Sqm","6.45","38.71","0.06"
"2015-04-01","Germany","DEU","276","Europe","150","Western Europe","155","52083220","Saree","Sqm","0.11","0.31","0.0"
"2016-01-01","Kingdom of the Netherlands","NLD","528","Europe","150","Western Europe","155","85013119","Other Motor Wth Output >37.5 W","Nos","0.01","0.95","0.0"
"2018-01-01","France","FRA","250","Europe","150","Western Europe","155","76152090","Other Sanitary Wareandparts Thereof Of Alumn","Kgs","0.01","0.04",""
"2017-05-01","Germany","DEU","276","Europe","150","Western Europe","155","56022100","Felt,Not Impregnated,Coated,Covered/ Laminated,Of Wool/Fine Animal Hair","Kgs","1.03","8.66","0.01"
"2024-06-01","Czechia","CZE","203","Europe","150","Eastern Europe","151","57050023","Durries Of Wool","Sqm","4.0","0.0","0.0"
"2016-12-01","Italy","ITA","380","Europe","150","Southern Europe","39","73261910","Other Articles Forged Or Stamped For Automobiles And Earth Moving Equipments","Kgs","241.12","658.7","0.97"
"2025-07-01","Kingdom of the Netherlands","NLD","528","Europe","150","Western Europe","155","61079190","Othr Cotton Articles","Nos","1356.0","0.05","0.01"
"2019-05-01","France","FRA","250","Europe","150","Western Europe","155","90119000","Parts And Accessories Of Hdg 9011","Kgs","0.0","0.04",""
"2024-12-01","Kingdom of the Netherlands","NLD","528","Europe","150","Western Europe","155","72027000","Ferro-Molybdenum","Kgs","18000.0","5.08","0.6"
"2021-02-01","Sweden","SWE","752","Europe","150","Northern Europe","154","90173029","Othr Gauges","Nos","0.07","51.12","0.07"
"2019-11-01","Austria","AUT","40","Europe","150","Western Europe","155","74199940","*Copper Worked Articles","Kgs","0.22","2.37","0.0"
"2017-05-01","France","FRA","250","Europe","150","Western Europe","155","44219970","Articles Of Densified Wood Not Included Or Specified Elsewhere","Kgs","0.17","2.35","0.0"
"2021-08-01","Austria","AUT","40","Europe","150","Western Europe","155","84733030","Prts And Accssrs Othr Mntd Prntd Crcit Brds","Nos","0.0","0.09","0.0"
"2016-03-01","Greece","GRC","300","Europe","150","Southern Europe","39","73239490","Other Household Articles Of Iron N.E.S. (Other Than Cast Iron)Or Steel,Enamelled","Kgs","1.1","2.47","0.0"
"2016-07-01","Kingdom of the Netherlands","NLD","528","Europe","150","Western Europe","155","9041130","Black Pepper Garbled","Kgs","25.0","155.49","0.23"
"2015-10-01","Kingdom of the Netherlands","NLD","528","Europe","150","Western Europe","155","84137091","Singl And Multistage Chmcl And Process Pumps","Nos","0.02","86.16","0.13"
"2018-06-01","France","FRA","250","Europe","150","Western Europe","155","12119032","Psyllium Husk (Isobgul Husk)","Kgs","40.0","114.44","0.17"
"2021-03-01","Greece","GRC","300","Europe","150","Southern Europe","39","84622990","Others","Nos","0.1","0.89","0.0"
"2025-04-01","Germany","DEU","276","Europe","150","Western Europe","155","85113020","Ignition Coils","Nos","169268.0","5.33","0.62"
"2016-04-01","France","FRA","250","Europe","150","Western Europe","155","76110000","Almnm Rsvrs,Tnks,Vats Etc.Fr Any Matrl (Excl Cmprssd Gas)Of Cpcty>300L,W/N Lnd Ht-Insltd,Bt Nt Ftd Wth Mchnl/Thrml","Kgs","4.36","20.95","0.03"
"2015-03-01","Poland","POL","616","Europe","150","Eastern Europe","151","61112000","Babies Garments Etc Of Cotton","Kgs","16.86","194.58","0.31"
"2019-09-01","Italy","ITA","380","Europe","150","Southern Europe","39","30043190","Other Medicaments Containing Insulin","Kgs","0.5","14.41","0.02"
"2015-12-01","France","FRA","250","Europe","150","Western Europe","155","39219029","Othr Plts,Shts,Film Foil,Strip Etc, Of Polymer Of Vinyl Chloride : Other","Kgs","13.0","18.37","0.03"
"2015-03-01","Switzerland","CHE","756","Europe","150","Western Europe","155","29335300","Allobarbital And Othr Barbital Compnds Andits Salts","Kgs","1.5","28.79","0.05"
"2024-11-01","Denmark","DNK","208","Europe","150","Northern Europe","154","84212300","Oil/Prtl-Fltrs Fr Intrnl Cmbstn Engns","Nos","85.0","0.04","0.0"
"2019-06-01","Ukraine","UKR","804","Europe","150","Eastern Europe","151","84099112","Pistons","Kgs","0.0","0.03",""
"2021-07-01","Spain","ESP","724","Europe","150","Southern Europe","39","29333990","Other Cmpnds Cntng An Unfused Pyrdn Ring (W/N Hydrgntd ) In Structure","Kgs","46.13","2739.38","3.68"
"2024-05-01","Russian Federation","RUS","643","Europe","150","Eastern Europe","151","61083990","Nightdresses And Pyjamas Of Othr Fibres","Nos","19721.0","0.33","0.04"
"2018-09-01","Lithuania","LTU","440","Europe","150","Northern Europe","154","57033090","*Othr Txtl Flr Cvrngs Of Othr Man-Made Txtl Matrl","Sqm","0.08","0.69","0.0"
"2017-05-01","Romania","ROU","642","Europe","150","Eastern Europe","151","95066940","Rugby Ball","Nos","0.0","0.06",""
"2021-05-01","Poland","POL","616","Europe","150","Eastern Europe","151","25152090","Others (Ecaussine Etc)","Kgs","79.5","8.0","0.01"
"2020-03-01","Germany","DEU","276","Europe","150","Western Europe","155","83111000","Coat Elctrd Of Bs Mtl Fr Elctrc Arc Wldng","Kgs","3.8","10.62","0.01"
"2021-06-01","Germany","DEU","276","Europe","150","Western Europe","155","29202990","Other","Kgs","12.0","35.54","0.05"
"2018-04-01","Italy","ITA","380","Europe","150","Southern Europe","39","39201099","Othr Plts,Sheet Of Polymrs Of Ethylene Nes","Kgs","0.08","0.14","0.0"
"2024-08-01","Russian Federation","RUS","643","Europe","150","Eastern Europe","151","73259910","Other Cast Artcles Of Iron Malleable","Kgs","1786.0","0.12","0.01"
"2015-05-01","Croatia","HRV","191","Europe","150","Southern Europe","39","90183920","Cardiac Catheters","Nos","0.0","7.63","0.01"
"2018-12-01","Sweden","SWE","752","Europe","150","Northern Europe","154","76151021","Non-Stick","Kgs","1.74","7.42","0.01"
"2024-05-01","Montenegro","MNE","499","Europe","150","Southern Europe","39","40117000","Of A Kind Used On Agricultural Or Forestry Vehicles And Machines","Nos","75.0","0.19","0.02"
"2020-05-01","Romania","ROU","642","Europe","150","Eastern Europe","151","84211999","Other Centrifuges","Nos","0.0","1.82","0.0"
"2017-06-01","Greece","GRC","300","Europe","150","Southern Europe","39","33074100","Agarbatti And Othr Odoriferous Prpns Whichoperate By Burnin","Kgs","9.04","13.18","0.02"
"2021-07-01","United Kingdom of Great Britain and Northern Ireland","GBR","826","Europe","150","Northern Europe","154","52114310","Bleeding Madras","Sqm","0.01","0.05",""
"2019-06-01","Germany","DEU","276","Europe","150","Western Europe","155","84799010","Prts Of Mchns Fr Publc Wrks,Buildng And Like","Kgs","8.78","18.42","0.03"
"2017-09-01","Italy","ITA","380","Europe","150","Southern Europe","39","62171040","Accessories Fr Articles Of Apparel Of Silk","Kgs","0.16","33.78","0.05"
"2017-06-01","Poland","POL","616","Europe","150","Eastern Europe","151","94019000","*Other Seats Of Heading 9401","Kgs","1.25","5.99","0.01"
