Date (date),Country Name (country_name),ISO Alpha 3 Code (alpha_3_code),Country Code (country_code),Region Name (region),Region Code (region_code),Sub-Region Name (sub_region),Sub-Region Code (sub_region_code),Harmonized System Code (hs_code),Commodity Name (commodity),Unit of Quantity (unit),Quantity of commodity (value_qt),Value of commodity quantity in INR (value_rs),Value of commodity quantity in US Dollars (value_dl)
"2018-11-01","Cabo Verde","CPV","132","Africa","2","Sub-Saharan Africa","202","72044900","Other Waste And Scrap","Kgs","91.0","22.34","0.03"
"2017-11-01","Egypt","EGY","818","Africa","2","Northern Africa","15","61099090","T-Shirt Etc Of Othr Fibres","Nos","0.1","0.07","0.0"
"2022-02-01","South Africa","ZAF","710","Africa","2","Sub-Saharan Africa","202","38011000","Artificial Graphite","Kgs","120.0","87.55","0.12"
"2024-04-01","United Republic of Tanzania","TZA","834","Africa","2","Sub-Saharan Africa","202","71031042","Sapphire","Kgs","0.03","0.77","0.0"
"2018-03-01","Democratic Republic of the Congo","COD","180","Africa","2","Sub-Saharan Africa","202","73259100","Grindng Balls And Smlr Artcls For Mills Of Malleable Cast Iron","Kgs","0.09","0.55","0.0"
"2020-10-01","South Africa","ZAF","710","Africa","2","Sub-Saharan Africa","202","72209090","Stainless Stl Othr Thn Skelp Of Othr N.E.S","Kgs","70.13","48.17","0.07"
"2023-12-01","Uganda","UGA","800","Africa","2","Sub-Saharan Africa","202","3043300","Frsh Or Chld Fillets Nile Perch (Lates Niloticus)","Kgs","6.21","35.86","0.04"
"2020-12-01","Kenya","KEN","404","Africa","2","Sub-Saharan Africa","202","6039000","Othr Cut Flwrs And Flower Buds Suitable For Boqets/For Ornmntl Purpses","Kgs","0.0","0.08","0.0"
"2024-11-01","Algeria","DZA","12","Africa","2","Northern Africa","15","12129200","Locust Beans (Carob)","Kgs","10000.0","0.09","0.01"
"2015-08-01","Gabon","GAB","266","Africa","2","Sub-Saharan Africa","202","26020010","Manganese Ore (46 Percent And Above)","Kgs","75.0","35.04","0.05"
"2023-07-01","Madagascar","MDG","450","Africa","2","Sub-Saharan Africa","202","25041010","Graphite Crystalline (Flakes/Powder)","Kgs","200.0","166.46","0.2"
"2017-09-01","South Africa","ZAF","710","Africa","2","Sub-Saharan Africa","202","84814000","Safety/Relief Valves","Kgs","0.0","0.29","0.0"
"2016-12-01","Tunisia","TUN","788","Africa","2","Northern Africa","15","42033000","Belts And Bandoliers","Kgs","0.05","0.7","0.0"
"2017-10-01","United Republic of Tanzania","TZA","834","Africa","2","Sub-Saharan Africa","202","71031023","*Agate Uncut","Kgs","0.02","0.14","0.0"
"2022-03-01","Nigeria","NGA","566","Africa","2","Sub-Saharan Africa","202","9101290","Other Ginger; Crushed Or Ground","Kgs","23.0","33.26","0.04"
"2015-02-01","Cameroon","CMR","120","Africa","2","Sub-Saharan Africa","202","40012100","Natrl Rubr In Smkd Sheets","Kgs","202.8","200.59","0.32"
"2025-02-01","Morocco","MAR","504","Africa","2","Northern Africa","15","47072000","Wste And Scrp Of Othr Papr/Paprbord Made Of Blechd Chem Pulp Nt Colord","Kgs","872300.0","1.46","0.17"
"2022-06-01","United Republic of Tanzania","TZA","834","Africa","2","Sub-Saharan Africa","202","72044900","Other Waste And Scrap","Kgs","19.81","7.16","0.01"
"2025-06-01","Nigeria","NGA","566","Africa","2","Sub-Saharan Africa","202","39199010","Plastic Stickers, Whether Or Not Printed, Embossed, Or Impregnated","Kgs","1.0","0.0","0.0"
"2018-01-01","South Africa","ZAF","710","Africa","2","Sub-Saharan Africa","202","29071190","Other Phenol And Its Salts","Kgs","308.0","193.19","0.3"
"2020-08-01","Egypt","EGY","818","Africa","2","Northern Africa","15","85177090","*Othr Parts Of Telephonc/Telegrphc Apparts","Kgs","0.0","1.21","0.0"
"2020-03-01","Kenya","KEN","404","Africa","2","Sub-Saharan Africa","202","9024030","Tea Black,Dust In Bulk","Kgs","93.49","120.06","0.16"
"2021-11-01","Mozambique","MOZ","508","Africa","2","Sub-Saharan Africa","202","74040012","Copper Scrap Covered By Isri Code Barley, Berry ,Birch,Candy,Cliff,Clobe,Cobra, Cocoadream And Palms","Kgs","2.8","19.05","0.03"
"2019-06-01","South Africa","ZAF","710","Africa","2","Sub-Saharan Africa","202","22042990","Other Wine Of Frsh Grapes Excluding Grape Must","Ltr","0.09","0.6","0.0"
